statistic,pval,fdr,df.test,df.dna,df.rna.full,df.rna.red,architecture
12.875169876369398,0.0016002667607181527,0.005258019356645358,2,15,7,5,"ALX3-1:1223, 1, set2, minCMV"
0.505420151486021,0.7766930313340269,0.8289315094581611,2,7,7,5,"ALX3-1:1223, 1, set2, minProm"
8.587886653465262,0.013650988713749179,0.03153902245716091,2,13,7,5,"ALX3-1:1223, 1, set2, minTK"
0.3036513752379051,0.8591380260844859,0.8940800912023095,2,12,7,5,"ALX3-1:1556, 4, set2, minCMV"
49.07110479209098,2.209759369205386e-11,3.5064941308243606e-10,2,13,7,5,"ALX3-1:1556, 4, set2, minProm"
1.842168434585858,0.3980871939989519,0.4914568479565676,2,11,7,5,"ALX3-1:1556, 4, set2, minTK"
0.02266219031463379,0.9887328599131626,0.995704902054236,2,9,7,5,"ALX3-1:1889, 8, set2, minCMV"
1.3418299292163738,0.5112405966738878,0.59557318673621,2,12,7,5,"ALX3-1:1889, 8, set2, minProm"
0.8663117718317608,0.6484593982384435,0.7205920130309085,2,13,7,5,"ALX3-1:1889, 8, set2, minTK"
4.039926512032707,0.13266033945991274,0.20075582666912867,2,12,7,5,"ALX3-1:224, 1, set1, minCMV"
1.418841663846564,0.49192902455865745,0.5782802717868903,2,8,7,5,"ALX3-1:224, 1, set1, minProm"
8.24881579599645,0.016173067859564103,0.0361949015034924,2,11,7,5,"ALX3-1:224, 1, set1, minTK"
0.6258196197745747,0.7313158670550942,0.7895588501380685,2,7,7,5,"ALX3-1:557, 4, set1, minCMV"
0.4116363922984476,0.5211401036852066,0.6052044963560615,1,6,6,5,"ALX3-1:557, 4, set1, minProm"
1.3613764847713128,0.5062684370371837,0.5910635878032976,2,9,7,5,"ALX3-1:557, 4, set1, minTK"
0.7735734027495482,0.6792359595727535,0.746320992616976,2,8,7,5,"ALX3-1:890, 8, set1, minCMV"
1.5200143858654656,0.4676630631288564,0.5557118557806322,2,7,7,5,"ALX3-1:890, 8, set1, minProm"
0.5798110851060301,0.7483342499830177,0.8048197248941701,2,9,7,5,"ALX3-1:890, 8, set1, minTK"
1.1262761184316332,0.5694193855087922,0.6499636517489764,2,15,7,5,"ALX4-1:1224, 1, set2, minCMV"
2.3373572505254288,0.3107773233755266,0.40212464029690453,2,17,7,5,"ALX4-1:1224, 1, set2, minProm"
2.536225621981771,0.28136210453158034,0.3705435736496751,2,17,7,5,"ALX4-1:1224, 1, set2, minTK"
1.3509692117548866,0.5089097401898026,0.5933576446754467,2,15,7,5,"ALX4-1:1557, 4, set2, minCMV"
4.633980159588134,0.09856982686300397,0.15858457080579183,2,11,7,5,"ALX4-1:1557, 4, set2, minProm"
0.03842711476147542,0.9809698465207822,0.9898350028728432,2,22,7,5,"ALX4-1:1557, 4, set2, minTK"
0.15570391608827094,0.9251013702228049,0.9463680683888464,2,12,7,5,"ALX4-1:1890, 8, set2, minCMV"
1.9839636530748521,0.3708410197023487,0.4648140214284965,2,12,7,5,"ALX4-1:1890, 8, set2, minProm"
0.9494563673109155,0.6220541179635921,0.6993838041769351,2,13,7,5,"ALX4-1:1890, 8, set2, minTK"
6.641922994200797,0.036118087617013885,0.06944307327992556,2,13,7,5,"ALX4-1:225, 1, set1, minCMV"
0.047383883493807843,0.9765865089576391,0.9867090739567064,2,8,7,5,"ALX4-1:225, 1, set1, minProm"
4.4041545006460865,0.11057323135648242,0.17379836543643679,2,13,7,5,"ALX4-1:225, 1, set1, minTK"
4.055793241567869,0.13161206028538897,0.19969512770403294,2,11,7,5,"ALX4-1:558, 4, set1, minCMV"
1.409769181382103,0.49416560227596107,0.5801320901503875,2,7,7,5,"ALX4-1:558, 4, set1, minProm"
1.1693814419216437,0.5572781896251523,0.6393730612008417,2,8,7,5,"ALX4-1:558, 4, set1, minTK"
1.1306877233301407,0.5681647430889576,0.6490140787405672,2,9,7,5,"ALX4-1:891, 8, set1, minCMV"
1.0574637155424966,0.5893518779893453,0.669480185485122,2,14,7,5,"ALX4-1:891, 8, set1, minProm"
0.47658001315420506,0.787974140271486,0.8374782269655929,2,5,7,5,"ALX4-1:891, 8, set1, minTK"
11.40181833638053,0.0033429247945580623,0.009822440748029217,2,103,7,5,"AR-1:1266, 1, set2, minCMV"
12.420210538159154,0.0020090259646239374,0.006379228773917063,2,102,7,5,"AR-1:1266, 1, set2, minProm"
38.51268272735251,4.335879500474264e-9,5.357472034690635e-8,2,101,7,5,"AR-1:1266, 1, set2, minTK"
10.905141915344757,0.0042852732599918675,0.012093485593931395,2,103,7,5,"Ar-1:1268, 1, set2, minCMV"
4.706984017997456,0.09503671303847795,0.15419298672900744,2,101,7,5,"Ar-1:1268, 1, set2, minProm"
9.02443046793178,0.01097412297949731,0.026532318589406686,2,102,7,5,"Ar-1:1268, 1, set2, minTK"
20.211067312028717,4.0852862894619034e-5,2.2240907006724776e-4,2,103,7,5,"AR-1:1599, 4, set2, minCMV"
36.742154929292155,1.0508541180948155e-8,1.199497237773283e-7,2,103,7,5,"AR-1:1599, 4, set2, minProm"
24.758765705148107,4.204383642490546e-6,2.9306606070981206e-5,2,98,7,5,"AR-1:1599, 4, set2, minTK"
3.042278263445951,0.21846288715230683,0.30112641382042044,2,103,7,5,"Ar-1:1601, 4, set2, minCMV"
38.80415145840834,3.747879104085868e-9,4.659053760767473e-8,2,101,7,5,"Ar-1:1601, 4, set2, minProm"
23.623031861657182,7.4186316552622615e-6,4.8672881404877725e-5,2,102,7,5,"Ar-1:1601, 4, set2, minTK"
4.097691875469536,0.12888355744365715,0.1963955152013644,2,102,7,5,"AR-1:1932, 8, set2, minCMV"
53.86079852917828,2.0150053517277396e-12,3.505424324351289e-11,2,102,7,5,"AR-1:1932, 8, set2, minProm"
22.854671898498054,1.0893590717425979e-5,6.882463024250302e-5,2,102,7,5,"AR-1:1932, 8, set2, minTK"
22.90617025029951,1.0616670270648256e-5,6.735224393806914e-5,2,102,7,5,"Ar-1:1934, 8, set2, minCMV"
19.840986398779023,4.915690664911711e-5,2.627263391925398e-4,2,101,7,5,"Ar-1:1934, 8, set2, minProm"
19.122592683389485,7.040147511408373e-5,3.64532427213818e-4,2,102,7,5,"Ar-1:1934, 8, set2, minTK"
37.62426355658317,6.7607515415088085e-9,7.984744934410429e-8,2,100,7,5,"AR-1:267, 1, set1, minCMV"
5.970331854680808,0.0505311183594108,0.09178101089770534,2,91,7,5,"AR-1:267, 1, set1, minProm"
