statistic,pval,fdr,df.test,df.dna,df.rna.full,df.rna.red,logFC,architecture
0.9266957286956767,0.33572301239627034,0.6868449713736432,1,16,5,4,0.13472658558397071,"ALX3-1:1223, 1, set2, minCMV"
3.0171436717919278,0.08238845778072372,0.27234846371624793,1,11,5,4,-0.5067172343042813,"ALX3-1:1223, 1, set2, minProm"
1.3169428567740624,0.2511414501561621,0.5766913578374433,1,15,5,4,0.21081670477952472,"ALX3-1:1223, 1, set2, minTK"
0.04959897834828553,0.8237625560516072,1,1,16,5,4,0.03758504996654274,"ALX3-1:1556, 4, set2, minCMV"
-2.4985273266081265,1,1,1,14,5,4,0.02003741671060476,"ALX3-1:1556, 4, set2, minProm"
1.199564124532344,0.27340881315463367,0.6071444412214577,1,13,5,4,-0.1751674028209192,"ALX3-1:1556, 4, set2, minTK"
0.5407361288066568,0.46212781085047216,0.8294181446842945,1,11,5,4,0.2573604418764245,"ALX3-1:1889, 8, set2, minCMV"
0.45404399566882603,0.5004207552049337,0.8660380369307096,1,14,5,4,-0.12363355333067562,"ALX3-1:1889, 8, set2, minProm"
0.4954244012923823,0.4815175297387356,0.849606626732351,1,18,5,4,-0.11985794999861663,"ALX3-1:1889, 8, set2, minTK"
0.0935342423365455,0.7597312802817472,1,1,13,5,4,-0.0702838096631312,"ALX3-1:224, 1, set1, minCMV"
-9.738144521218658,1,1,1,10,5,4,-0.77099394976049,"ALX3-1:224, 1, set1, minProm"
-12.617955400110304,1,1,1,13,5,4,0.1716881928031907,"ALX3-1:224, 1, set1, minTK"
-0.20805596123534542,1,1,1,12,5,4,0.035498616130957825,"ALX3-1:557, 4, set1, minCMV"
1.5041503516620196,0.22003386523167978,0.5312295598478683,1,9,5,4,-0.48435583026487217,"ALX3-1:557, 4, set1, minProm"
1.761835404146325,0.18439574836297276,0.4748673737716473,1,11,5,4,-0.29909947022240785,"ALX3-1:557, 4, set1, minTK"
0.7022107950843406,0.40204183072239263,0.7678298893958133,1,11,5,4,-0.2882704568101645,"ALX3-1:890, 8, set1, minCMV"
0.060723311603396724,0.8053563479918746,1,1,8,5,4,-0.049321479160580065,"ALX3-1:890, 8, set1, minProm"
8.15437533126044,0.0042957394132751795,0.02463532350731667,1,10,5,4,-0.22007094314856643,"ALX3-1:890, 8, set1, minTK"
1.0591215276435832,0.3034156296426404,0.6453644239031857,1,18,5,4,-0.13717750493562625,"ALX4-1:1224, 1, set2, minCMV"
-98.32280355573891,1,1,1,19,5,4,0.15318578475792702,"ALX4-1:1224, 1, set2, minProm"
5.076899587699927,0.024246690389409298,0.10494938151638612,1,22,5,4,-0.3654422776795785,"ALX4-1:1224, 1, set2, minTK"
1.9025606725285797,0.16779197816770103,0.4478828030882311,1,17,5,4,-0.14385531912290153,"ALX4-1:1557, 4, set2, minCMV"
-68.23361968149038,1,1,1,12,5,4,0.20613682319680424,"ALX4-1:1557, 4, set2, minProm"
-42.88656870102875,1,1,1,27,5,4,-0.2660133232100976,"ALX4-1:1557, 4, set2, minTK"
2.3791489149560903,0.12296452233480085,0.36222930272438697,1,14,5,4,-0.12193807397942305,"ALX4-1:1890, 8, set2, minCMV"
-35.88168175653206,1,1,1,13,5,4,-0.2713683224432266,"ALX4-1:1890, 8, set2, minProm"
-1.425035079127099,1,1,1,18,5,4,-0.16266564706253916,"ALX4-1:1890, 8, set2, minTK"
-0.1527370169299047,1,1,1,15,5,4,-0.03761473060235415,"ALX4-1:225, 1, set1, minCMV"
0.07757639496293223,0.7806090745418424,1,1,10,5,4,0.08043375097792704,"ALX4-1:225, 1, set1, minProm"
-4.237144699816014,1,1,1,14,5,4,-0.0414524320495423,"ALX4-1:225, 1, set1, minTK"
0.21088407854921343,0.6460753531072233,1,1,13,5,4,0.03488037170589356,"ALX4-1:558, 4, set1, minCMV"
-51.849009253622256,1,1,1,8,5,4,-0.994602503479931,"ALX4-1:558, 4, set1, minProm"
-12.169053356089094,1,1,1,9,5,4,-0.2633059139399608,"ALX4-1:558, 4, set1, minTK"
-11.49785166746554,1,1,1,11,5,4,-0.5392690699474566,"ALX4-1:891, 8, set1, minCMV"
-62.73282401403296,1,1,1,15,5,4,0.46702437979265893,"ALX4-1:891, 8, set1, minProm"
3.457400291205289,0.06296924565572487,0.22381777014899432,1,7,5,4,-0.7812248654412246,"ALX4-1:891, 8, set1, minTK"
0.3066310552230789,0.5797549001071008,0.9469798721735504,1,104,5,4,-0.02781701244764624,"AR-1:1266, 1, set2, minCMV"
-192.37405763647257,1,1,1,104,5,4,-0.013117439757678097,"AR-1:1266, 1, set2, minProm"
-225.62744556295456,1,1,1,103,5,4,-0.3716038862703806,"AR-1:1266, 1, set2, minTK"
1.1654025274983724,0.2803479150400453,0.6150622352894725,1,104,5,4,-0.03723905069174533,"Ar-1:1268, 1, set2, minCMV"
10.097063145998618,0.001485058046869546,0.009713766266105168,1,104,5,4,-0.13165227418154601,"Ar-1:1268, 1, set2, minProm"
-155.6779396615907,1,1,1,104,5,4,-0.23021233167290908,"Ar-1:1268, 1, set2, minTK"
