architecture,controls,mad.score_Dexamethasone,mad.score_FBS,mad.score_Serum Free,pval.empirical_Dexamethasone,pval.empirical_FBS,pval.empirical_Serum Free,pval.mad_Dexamethasone,pval.mad_FBS,pval.mad_Serum Free,pval.zscore_Dexamethasone,pval.zscore_FBS,pval.zscore_Serum Free,statistic_Dexamethasone,statistic_FBS,statistic_Serum Free,zscore_Dexamethasone,zscore_FBS,zscore_Serum Free
"ALX3-1:1223, 1, set2, minCMV",FALSE,2.6957447783202064,2.4975320868343696,1.4418123624601307,0.10130718954248363,0.11111111111111116,0.16013071895424835,0.0035115727669424502,0.006253057327323647,0.07467765719922072,0.17519440403506398,0.20814796603121602,0.31803167800310106,0.4585358412267342,0.45806480017879087,0.3967061086930644,0.9338353957456835,0.812864182584833,0.473210011286603
"ALX3-1:1223, 1, set2, minProm",FALSE,1.6498141833449116,-2.453785783374231,-0.7983026739759255,0.17647058823529416,1,0.8594771241830066,0.049490473473115124,0.9929319418050621,0.7876525666595597,0.32290219179388213,0.9231168617075413,0.7508721713942048,0.39267356754361005,0.18847146806843923,0.2836628238052324,0.4595985730218331,-1.4263536812289679,-0.677236902915936
"ALX3-1:1223, 1, set2, minTK",FALSE,-0.3593593295295481,1.4831851361868842,-0.24078686945344327,0.6666666666666667,0.20588235294117652,0.5751633986928104,0.6403368521233348,0.06901261460996609,0.5951398465424587,0.6741434276321315,0.3616211127531568,0.6520702413516234,0.2661558651094947,0.40283482272442295,0.31179683339626296,-0.45138353958096994,0.3541289788401353,-0.39091574239532806
"ALX3-1:1556, 4, set2, minCMV",FALSE,4.766135680531775,4.159155842382886,4.500560716990663,0.039215686274509776,0.06862745098039214,0.039215686274509776,9.389641120532446e-7,1.597129569052271e-5,3.388722067507631e-6,0.03056360556670964,0.05887024744999223,0.02047286366335805,0.5889084040789849,0.5485382249749186,0.5510602181996421,1.8725741686413861,1.5643282763665676,2.0440791624486945
"ALX3-1:1556, 4, set2, minProm",FALSE,1.189562900877417,-0.7628017600722035,-0.9238268082290872,0.2287581699346405,0.8398692810457516,0.9150326797385621,0.11710911730194694,0.7772091843538146,0.8222117524404944,0.40093975537126475,0.745889881962406,0.7708659946520302,0.36369153367395446,0.2805435243042785,0.27732847925690335,0.2509154090523178,-0.6616114991153185,-0.7417018301900481
"ALX3-1:1556, 4, set2, minTK",FALSE,-0.4572740884657726,-1.064031511835094,-0.41856098526115915,0.696078431372549,0.9640522875816994,0.6797385620915033,0.6762629741654311,0.8563427877090249,0.6622314960935396,0.6899749008056155,0.7875188213013558,0.6851732054965822,0.25999017048151885,0.2641419248438281,0.30282578963642715,-0.4957792044546834,-0.7978417026573188,-0.4822144835891978
"ALX3-1:1889, 8, set2, minCMV",FALSE,11.8709205255218,19.319154281856477,13.196494179845313,0.0065359477124182774,0,0.0032679738562091387,8.380655440754915e-33,1.853367857634935e-83,4.595706945747696e-40,1.7532632823650355e-7,1.876170645568386e-17,3.7571673238784976e-11,1.036296869593275,1.373981995950832,0.9898845052644059,5.093964390144771,8.420389674749059,6.510014909377153
"ALX3-1:1889, 8, set2, minProm",FALSE,-0.6581859927056223,0.2680592312366107,0.8114553280196738,0.8169934640522876,0.4084967320261438,0.27450980392156865,0.744790687800791,0.39432686324142374,0.20855211841428814,0.7213561512619042,0.5774631730377148,0.44058741653458094,0.24733874323882005,0.3366726715080339,0.3648963004170261,-0.5868749459616572,-0.19540787265530898,0.1494800718315103
"ALX3-1:1889, 8, set2, minTK",FALSE,-0.6938968008515448,-1.2909956146082313,-1.2062301217535023,0.8235294117647058,0.9836601307189542,0.9705882352941176,0.7561265349966086,0.9016474009088696,0.8861356136788899,0.7267678184617321,0.8160690311035963,0.8123890891140632,0.2450900328264357,0.25178400108696203,0.26307751548729363,-0.6030666323635865,-0.9004855010755102,-0.8867345697236498
"ALX3-1:224, 1, set1, minCMV",FALSE,2.073858989809422,0.910849440949005,1.1176564723835463,0.13398692810457513,0.28104575163398693,0.18300653594771243,0.01904620436113039,0.18118735404584155,0.13185686990110979,0.2572440329268143,0.4620414607649691,0.37952270787390374,0.4193756787844928,0.37167182911149743,0.3803481779466618,0.6518653091478849,0.09529196888242938,0.30673456810914324
"ALX3-1:224, 1, set1, minProm",FALSE,3.127929758262315,-1.5544691800365598,-0.36097970724731876,0.08823529411764708,1,0.6601307189542484,8.802112364169736e-4,0.9399637286526304,0.6409426914968719,0.12928173366054513,0.8460505260859039,0.6745969758608851,0.485750539379201,0.2374381807844119,0.3057315229174643,1.129792979070376,-1.0196405886330318,-0.4526426970829774
"ALX3-1:224, 1, set1, minTK",FALSE,0.7295108628795217,2.3546058714064224,4.3269290255653,0.3104575163398693,0.12418300653594772,0.039215686274509776,0.23284461269926016,0.009271180404555417,7.560132784023602e-6,0.4831207706774838,0.22716184909387563,0.02529697513197657,0.33472204623314383,0.4502826388081821,0.5422982142667634,0.042322584790486964,0.7482262532126926,1.9549078295666662
"ALX3-1:557, 4, set1, minCMV",FALSE,-1.4110710910721342,-0.05053925795711401,-0.5907165276149979,0.9934640522875817,0.5163398692810457,0.761437908496732,0.9208881734498654,0.5201536669824455,0.722644813977273,0.8233588723446404,0.6328808276106324,0.7158739867882797,0.19992955123432352,0.3193253650820295,0.2941382768512418,-0.928241608951281,-0.3394930328263364,-0.5706277165001907
"ALX3-1:557, 4, set1, minProm",FALSE,2.1694304011838517,8.640518508037653,14.667432574189615,0.130718954248366,0.009803921568627416,0,0.015025011495477842,2.797923702423798e-18,5.210713745077631e-49,0.24346546439606634,1.6469925539669812e-4,1.859145504758529e-13,0.42539381276246846,0.7925430586572886,1.06411270571828,0.6951984735960616,3.591010383677852,7.265438853786601
"ALX3-1:557, 4, set1, minTK",FALSE,-0.20984439338455296,-1.349243236572666,-0.09416121170568033,0.6045751633986929,0.9901960784313726,0.522875816993464,0.5831054382727477,0.9113705743177895,0.537509451798122,0.6493594787467875,0.822992026772249,0.6238521653491628,0.2755708240861265,0.24861248778393216,0.3191960275139974,-0.38359176772938103,-0.9268278040838082,-0.31561379014951685
"ALX3-1:890, 8, set1, minCMV",FALSE,1.4133785175579927,1.7633993333874718,2.029912234798553,0.20588235294117652,0.18627450980392157,0.11764705882352944,0.07877222930391316,0.03891658108273095,0.021182730609998122,0.36227066787381673,0.315309791322843,0.21909948662060663,0.3777852082171697,0.41809215039115805,0.42638348701066114,0.352395954167343,0.48085496422700436,0.7752381091163717
"ALX3-1:890, 8, set1, minProm",FALSE,-2.174723213520908,2.875697312477511,2.9957238098152974,1,0.10130718954248363,0.07843137254901966,0.9851745678730175,0.0020156804703319936,0.0013689714813354965,0.8987551216669081,0.16258524035514804,0.10182055644082094,0.1518423594750962,0.47865544411276684,0.47512139164804207,-1.2744901630678045,0.983888211122436,1.2712460944682547
"ALX3-1:890, 8, set1, minTK",FALSE,-1.1367282171074593,-1.4892926144030245,1.1723300705905346,0.9607843137254902,0.9934640522875817,0.17320261437908502,0.8721740401999443,0.9317948341394469,0.12053228157981946,0.7892586085826547,0.8389531865247867,0.3688830506112361,0.21720492833379831,0.24098696677740522,0.3831071805145783,-0.8038514309500243,-0.9901646927414,0.3348130691336484
"ALX4-1:1224, 1, set2, minCMV",FALSE,1.6953647260678666,2.4145679725467497,4.333170105971371,0.17647058823529416,0.12418300653594772,0.039215686274509776,0.04500312655424453,0.007876941609268058,7.348872801555508e-6,0.31552421191576074,0.21906823051667512,0.02510837520246241,0.39554188626919906,0.45354750345038647,0.5426131589097286,0.4802517069468345,0.7753439240116338,1.9581130362536752
"ALX4-1:1224, 1, set2, minProm",FALSE,0.8956049331563134,-1.5721442931262695,-0.5829890284453335,0.28104575163398693,1,0.7581699346405228,0.18523190002222992,0.9420414543811496,0.7200496569360815,0.45317981268868424,0.8479390119084306,0.7145271053086777,0.34518099366834387,0.23647579203091396,0.2945282308830207,0.1176315245420755,-1.0276341026858349,-0.5666591356774902
"ALX4-1:1224, 1, set2, minTK",FALSE,-1.6537113923120208,-1.0299656258405885,0.7496587894579514,0.9934640522875817,0.9509803921568627,0.2875816993464052,0.9509069165933061,0.848486928980493,0.22673011678988295,0.8504249007122419,0.7830206651271675,0.45313546078973305,0.18465048587034058,0.2659967715649018,0.3617778517659119,-1.038257480059325,-0.7824355133426489,0.11774347083541178
"ALX4-1:1557, 4, set2, minCMV",FALSE,1.503114453036724,-0.2799455082913053,0.6288641073268729,0.196078431372549,0.6209150326797386,0.3137254901960784,0.06640476620681839,0.6102403440340128,0.2647190129756498,0.3471289984184552,0.6712043899569737,0.47778744046098937,0.38343588214343627,0.30683446931331765,0.35568217031965754,0.3930832475021279,-0.4432412847633949,0.05570742936011828
"ALX4-1:1557, 4, set2, minProm",FALSE,-0.33398251358409997,-1.9306487623698299,-1.737283866128924,0.6535947712418301,1,1,0.6308036230342488,0.9732367483697638,0.958831461041966,0.6699870483932617,0.8829309329182145,0.8768667982897718,0.2677538437947294,0.21695565275216622,0.23627886508776344,-0.439877402727691,-1.1897666162571043,-1.159465715917109
