statistic,pval,fdr,df.test,df.dna,df.rna.full,df.rna.red,architecture
1.5859575595184197,0.4524949031062387,0.5589749989699353,2,17,7,5,"ALX3-1:1223, 1, set2, minCMV"
6.564707438152027,0.03753979460975281,0.0762969617779953,2,13,7,5,"ALX3-1:1223, 1, set2, minProm"
2.7526793958161306,0.2525010939229306,0.3589957682580184,2,16,7,5,"ALX3-1:1223, 1, set2, minTK"
0.2631416477240691,0.8767171804422987,0.916717215232652,2,17,7,5,"ALX3-1:1556, 4, set2, minCMV"
1.4118152251163565,0.49366031856106357,0.5967450652631474,2,15,7,5,"ALX3-1:1556, 4, set2, minProm"
1.1742349885897738,0.5559274414176848,0.652370337253997,2,14,7,5,"ALX3-1:1556, 4, set2, minTK"
0.8556803836888776,0.6519155879023388,0.7371189087561587,2,12,7,5,"ALX3-1:1889, 8, set2, minCMV"
1.2167246972476278,0.5442414173777885,0.6425856950277541,2,15,7,5,"ALX3-1:1889, 8, set2, minProm"
0.42334037962007187,0.8092315463693868,0.8656043465344434,2,19,7,5,"ALX3-1:1889, 8, set2, minTK"
0.22962903016514247,0.891531494216953,0.9259023397836532,2,14,7,5,"ALX3-1:224, 1, set1, minCMV"
13.456106147804348,0.001196860890953327,0.003862910978578736,2,11,7,5,"ALX3-1:224, 1, set1, minProm"
8.523434613754716,0.014098070895539392,0.033163673473919165,2,14,7,5,"ALX3-1:224, 1, set1, minTK"
4.059997258846465,0.13133570115403045,0.2161299100304178,2,13,7,5,"ALX3-1:557, 4, set1, minCMV"
4.046588710759693,0.1322191698853645,0.21719447484244683,2,10,7,5,"ALX3-1:557, 4, set1, minProm"
2.1997249884406074,0.3329168585430626,0.44529079816452316,2,12,7,5,"ALX3-1:557, 4, set1, minTK"
0.7392910151047545,0.6909792341465368,0.7684219547579267,2,12,7,5,"ALX3-1:890, 8, set1, minCMV"
10.273676594363678,0.00587623929609186,0.01563772173162747,2,9,7,5,"ALX3-1:890, 8, set1, minProm"
12.626805281391512,0.001811857637958774,0.005534145134669396,2,11,7,5,"ALX3-1:890, 8, set1, minTK"
1.4267550668591866,0.48998645386670303,0.5933550472494656,2,19,7,5,"ALX4-1:1224, 1, set2, minCMV"
