architecture,treatment,run
"GLIS2-1:673, 8, set1, minTK",FBS,19664
"TBX4-1:159, 1, set1, minTK",FBS,19664
"BATF3-1:522, 4, set1, minProm",Marin 1,20250
"CREB3L1-2:192, 1, set1, minTK",Marin 1,20250
"E2F2-2:714, 8, set1, minTK",Marin 1,20250
"FOXO1-1:1551, 4, set2, minProm",Marin 1,20250
"GBX2-1:1568, 4, set2, minTK",Marin 1,20250
"GBX2-1:236, 1, set1, minProm",Marin 1,20250
"GBX2-1:569, 4, set1, minProm",Marin 1,20250
"GLIS1-1:1671, 8, set2, minTK",Marin 1,20250
"NFATC1-3:1104, 1, set2, minTK",Marin 1,20250
"NFATC1-3:1437, 4, set2, minCMV",Marin 1,20250
"NFATC1-3:1437, 4, set2, minProm",Marin 1,20250
"NFATC1-3:1437, 4, set2, minTK",Marin 1,20250
"RFX2-1:467, 4, set1, minProm",Marin 1,20250
"RFX2-1:800, 8, set1, minTK",Marin 1,20250
"RFX2-2:801, 8, set1, minProm",Marin 1,20250
"TBX4-1:1491, 4, set2, minTK",Marin 1,20250
"TBX4-1:159, 1, set1, minProm",Marin 1,20250
"TBX4-1:159, 1, set1, minTK",Marin 1,20250
"TFCP2-1:1039, 1, set2, minProm",Marin 1,20250
"TFCP2-1:373, 4, set1, minProm",Marin 1,20250
"GLIS1-1:1671, 8, set2, minTK",Serum Free,19664
"RFX2-1:467, 4, set1, minProm",Serum Free,19664
"SP4-1:1682, 8, set2, minCMV",Serum Free,19664
