statistic,pval,fdr,df.test,df.dna,df.rna.full,df.rna.red,logFC,architecture
0.8115674738727421,0.36765723202713413,0.5977106191399306,1,16,5,4,0.1741973389865787,"ALX3-1:1223, 1, set2, minCMV"
0.5771184719930034,0.4474440095751368,0.6686620697835742,1,11,5,4,0.25276945986170524,"ALX3-1:1223, 1, set2, minProm"
0.7068829666094985,0.40048053755036167,0.6302207178156088,1,15,5,4,-0.14283750124528619,"ALX3-1:1223, 1, set2, minTK"
0.05167932402321185,0.8201664713612868,0.9198557554592662,1,16,5,4,0.06171751158077907,"ALX3-1:1556, 4, set2, minCMV"
1.6484152478171836,0.19917476163867898,0.4009607951441384,1,14,5,4,0.2394382852787747,"ALX3-1:1556, 4, set2, minProm"
0.042065209771124046,0.837495520578235,0.9262576782011078,1,12,5,4,-0.05984880277668875,"ALX3-1:1556, 4, set2, minTK"
0.08708848034569883,0.7679117038910901,0.8932186855609958,1,11,5,4,-0.13551751369580337,"ALX3-1:1889, 8, set2, minCMV"
0.9464650517575137,0.33062072312243085,0.5589992781412048,1,14,5,4,-0.2420181111741365,"ALX3-1:1889, 8, set2, minProm"
0.003679867371374712,0.9516284668983443,0.9800187924708853,1,18,5,4,-0.006490624282496105,"ALX3-1:1889, 8, set2, minTK"
0.07148293587624721,0.7891897390655362,0.9055211460325079,1,13,5,4,0.07734241979849805,"ALX3-1:224, 1, set1, minCMV"
5.603223010740237,0.01792746787674102,0.0686474486901143,1,10,5,4,0.6223252026424175,"ALX3-1:224, 1, set1, minProm"
6.570529335592369,0.010368110937889915,0.04483973646560228,1,13,5,4,-0.36376416950849993,"ALX3-1:224, 1, set1, minTK"
1.9368002636213077,0.16401637804211408,0.35446467063147946,1,11,5,4,-0.31591548593281227,"ALX3-1:557, 4, set1, minCMV"
2.3817147347887726,0.12276273020823023,0.29224287334805804,1,7,5,4,-0.9354839962148168,"ALX3-1:557, 4, set1, minProm"
0.6234155472448037,0.42978087191541575,0.6533945829961593,1,11,5,4,-0.25663695142761067,"ALX3-1:557, 4, set1, minTK"
0.0039312310797186,0.9500057715535278,0.9795676513102869,1,11,5,4,0.021683405787668326,"ALX3-1:890, 8, set1, minCMV"
9.875624827768348,0.0016748271192316558,0.01045405301455369,1,8,5,4,-0.9544708852513197,"ALX3-1:890, 8, set1, minProm"
4.735972941561897,0.029538136653253916,0.10290597579369572,1,10,5,4,-0.4256330532779651,"ALX3-1:890, 8, set1, minTK"
2.207240324196164,0.13736420520320328,0.3145752976726602,1,18,5,4,-0.16833071973577507,"ALX4-1:1224, 1, set2, minCMV"
6.023979370604934,0.01411279036524405,0.05715330576258,1,19,5,4,0.36722916713132747,"ALX4-1:1224, 1, set2, minProm"
12.114980597866634,5.001835852899195e-4,0.0036919876436440494,1,22,5,4,-0.6090074692232506,"ALX4-1:1224, 1, set2, minTK"
0.9449316732245734,0.3310127604362686,0.5589992781412048,1,18,5,4,0.10092511129213645,"ALX4-1:1557, 4, set2, minCMV"
0.3063735275323438,0.5799141066901502,0.7722967136363622,1,12,5,4,0.11757947905972253,"ALX4-1:1557, 4, set2, minProm"
4.838985392232416,0.02782326039780009,0.09793149877552329,1,26,5,4,-0.25572171205662947,"ALX4-1:1557, 4, set2, minTK"
0.2034394627577285,0.6519588176598272,0.8221713036090583,1,13,5,4,-0.10544092119991705,"ALX4-1:1890, 8, set2, minCMV"
0.0015723737990356312,0.9683696381383465,0.9886513160647813,1,13,5,4,-0.00543239183526538,"ALX4-1:1890, 8, set2, minProm"
0.8863088646544384,0.34647953454456704,0.5743798383732067,1,18,5,4,0.09480856874399088,"ALX4-1:1890, 8, set2, minTK"
2.8001309694890324,0.09425660721556244,0.2440658016517641,1,15,5,4,0.20924835473342787,"ALX4-1:225, 1, set1, minCMV"
0.028152867321182384,0.8667499357893672,0.9422697802307093,1,10,5,4,0.043501521437843395,"ALX4-1:225, 1, set1, minProm"
5.985321832759837,0.014425410285823535,0.05806085843743653,1,14,5,4,0.38347328194992086,"ALX4-1:225, 1, set1, minTK"
3.2799330360112435,0.07013179040379414,0.19813682459066403,1,12,5,4,-0.2860138735896525,"ALX4-1:558, 4, set1, minCMV"
10.307406294840632,0.001324973725398454,0.008557296131858365,1,8,5,4,-0.5034851844759973,"ALX4-1:558, 4, set1, minProm"
0.6538232398865489,0.4187490789643121,0.6454094963610553,1,9,5,4,0.19667742325403673,"ALX4-1:558, 4, set1, minTK"
2.7154122310877256,0.09938329335102485,0.25254951914025425,1,11,5,4,0.3576007835196343,"ALX4-1:891, 8, set1, minCMV"
0.08916025757497437,0.7652474407943641,0.8922076274409614,1,15,5,4,-0.04170723209685407,"ALX4-1:891, 8, set1, minProm"
0.3345577481120472,0.5629875658400952,0.7593190894270831,1,8,5,4,-0.3083783176027306,"ALX4-1:891, 8, set1, minTK"
854.7281888893922,6.817912705294489e-188,6.646923783479167e-186,1,104,5,4,2.586006808780206,"AR-1:1266, 1, set2, minCMV"
591.1476870621509,1.4101692547296348e-130,9.955470761551055e-129,1,104,5,4,1.4106760155762754,"AR-1:1266, 1, set2, minProm"
496.7600110588801,4.818712698004337e-110,3.082972228244025e-108,1,103,5,4,1.1368063184572839,"AR-1:1266, 1, set2, minTK"
1206.1617685613955,2.793687198820643e-264,3.650814207480083e-262,1,104,5,4,2.713770302554542,"Ar-1:1268, 1, set2, minCMV"
553.8320484395417,1.8465841197009614e-122,1.2327956155655766e-120,1,104,5,4,1.555772902231631,"Ar-1:1268, 1, set2, minProm"
595.1587489356098,1.891545179634695e-131,1.3830798206328926e-129,1,104,5,4,1.3165219953651428,"Ar-1:1268, 1, set2, minTK"
1100.6407458992899,2.396747738448733e-241,2.8309278095292537e-239,1,104,5,4,2.668547717649209,"AR-1:1599, 4, set2, minCMV"
569.2838629042062,8.037036113183379e-126,5.484830645241368e-124,1,104,5,4,1.4860761343775266,"AR-1:1599, 4, set2, minProm"
295.90281711684474,2.5729401857966104e-66,1.3862279492248052e-64,1,104,5,4,1.0222697168577415,"AR-1:1599, 4, set2, minTK"
1205.269233482527,4.366664104219146e-264,5.587510610023749e-262,1,104,5,4,2.677388710185338,"Ar-1:1601, 4, set2, minCMV"
727.9173954659263,2.541267343473176e-160,2.109251895082736e-158,1,104,5,4,1.6347701060774396,"Ar-1:1601, 4, set2, minProm"
586.7128428048654,1.2999155219852393e-129,9.072819472765159e-128,1,104,5,4,1.2876880612343067,"Ar-1:1601, 4, set2, minTK"
1063.0533648088958,3.541194630367592e-233,3.954548621766864e-231,1,104,5,4,2.6078090911700724,"AR-1:1932, 8, set2, minCMV"
523.1165790748355,8.881630511520933e-116,5.8032951704001666e-114,1,104,5,4,1.4820658556689608,"AR-1:1932, 8, set2, minProm"
461.89421264951125,1.8607143272765623e-102,1.1428507398132646e-100,1,104,5,4,1.1028157653386956,"AR-1:1932, 8, set2, minTK"
1209.907520597243,4.286727324416437e-265,5.723712875340382e-263,1,104,5,4,2.7824401767531968,"Ar-1:1934, 8, set2, minCMV"
734.6783181757837,8.608600098038293e-162,7.24301668522619e-160,1,104,5,4,1.7523345631236393,"Ar-1:1934, 8, set2, minProm"
569.3685602013602,7.70321365240911e-126,5.316082949786152e-124,1,104,5,4,1.3440685315797223,"Ar-1:1934, 8, set2, minTK"
1048.3679946478142,5.508741206886209e-230,5.935910261876333e-228,1,104,5,4,2.8988591686206635,"AR-1:267, 1, set1, minCMV"
491.3797863489672,7.138174795104855e-109,4.473741795054492e-107,1,104,5,4,1.5013268233511394,"AR-1:267, 1, set1, minProm"
371.64623315673634,8.198987844893403e-83,4.750772013522196e-81,1,104,5,4,1.1709113264057802,"AR-1:267, 1, set1, minTK"
1127.96270583543,2.7632427978130884e-247,3.327811228268233e-245,1,104,5,4,3.0873915099234783,"Ar-1:269, 1, set1, minCMV"
1080.8157849049758,4.88087468302217e-237,5.551543019096698e-235,1,104,5,4,1.931558581533299,"Ar-1:269, 1, set1, minProm"
706.1850180665842,1.351262462446576e-155,1.0920334268877459e-153,1,104,5,4,1.6257143115959554,"Ar-1:269, 1, set1, minTK"
1015.6462814774068,7.134350764765925e-223,7.426980067320731e-221,1,104,5,4,2.759339774846544,"AR-1:600, 4, set1, minCMV"
609.5111303375652,1.4291549865664476e-134,1.0836876453692744e-132,1,104,5,4,1.4646747994600606,"AR-1:600, 4, set1, minProm"
1081.0986323089764,4.236638504082097e-237,4.90970447020231e-235,1,104,5,4,1.2598886820507227,"AR-1:600, 4, set1, minTK"
894.1700812664158,1.8162664498548098e-196,1.7992755701626197e-194,1,104,5,4,2.9463547686824128,"Ar-1:602, 4, set1, minCMV"
764.5096299973429,2.808830438945165e-168,2.4645480794287432e-166,1,103,5,4,1.9232554474587396,"Ar-1:602, 4, set1, minProm"
